,Unnamed: 0,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party.1,candidate_status,in_state_in_state,donation_count_in_state,total_raised_in_state,in_state_out_of_state,donation_count_out_of_state,total_raised_out_of_state
33,0,"GRAHAM, LINDSEY O.",S0SC00149,SC,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C,True,8114.0,1791128.11,False,52555.0,11164839.379999997
34,1,"GRAYSON, DERRICK E REV",S0GA00658,GA,REP,Challenger,Senate,[2020],[2020],REP,C,True,4.0,1250.0,False,10.0,3750.0
35,2,"HAGERTY, BILL",S0TN00169,TN,REP,Open seat,Senate,[2020],[2020],REP,C,True,2083.0,3332903.0,False,927.0,1780395.0
36,3,"HAMILTON, BOB",S0KS00349,KS,REP,Open seat,Senate,[2020],[2020],REP,C,True,86.0,159000.0,False,25.0,27900.0
37,4,"HENRY, JON",S0TN00276,TN,REP,Open seat,Senate,[2020],[2020],REP,C,True,10.0,4640.0,False,2.0,1500.0
38,7,"HUBBARD, PEGGY",S0IL00501,IL,REP,Challenger,Senate,[2020],[2020],REP,C,True,27.0,6231.0,False,103.0,37611.0
39,9,"HYDE-SMITH, CINDY",S8MS00261,MS,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",REP,C,True,703.0,594686.34,False,1048.0,425758.57999999996
40,10,"INHOFE, JAMES M. SEN.",S4OK00083,OK,REP,Incumbent,Senate,"[1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1994, 1996, 2002, 2008, 2014, 2020]",REP,C,True,871.0,756600.94,False,857.0,933460.1
41,11,"INNIS, MATT",S0NE00080,NE,REP,Challenger,Senate,[2020],[2020],REP,C,True,74.0,44537.0,False,7.0,8600.0
42,12,"JAMES, JOHN",S8MI00372,MI,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C,True,9633.0,3873760.81,False,9084.0,4154247.55
43,13,"JAMES, NAREN",S0KY00461,KY,REP,Challenger,Senate,[2020],[2020],REP,C,True,1.0,60.0,,,
44,14,"JOHNSON, ARTHUR WAYNE",S0GA00492,GA,REP,Challenger,Senate,[2020],[2020],REP,C,True,2.0,800.0,False,1.0,250.0
45,15,"KOBACH, KRIS",S0KS00257,KS,REP,Open seat,Senate,[2020],[2020],REP,C,True,358.0,212438.01,False,561.0,496112.99
46,16,"LAPIERRE, MICHAEL JAMES",S0SC00313,SC,REP,Challenger,Senate,[2020],[2020],REP,C,True,26.0,21271.34,False,12.0,4254.94
47,17,"LARSON, DANIEL RICHARD",S0MT00157,MT,REP,Challenger,Senate,[2020],[2020],REP,N,True,1.0,500.0,,,
48,18,"LATURNER, JAKE",S0KS00208,KS,REP,Open seat,Senate,[2020],[2020],REP,C,True,204.0,427907.0,False,34.0,72950.0
49,19,"LEVASSEUR, DEREK ALLEN",S0ME00095,ME,REP,Challenger,Senate,[2020],[2020],REP,C,True,4.0,1250.0,False,2.0,2300.0
50,0,"LEWIS, JASON",S0MN00328,MN,REP,Challenger,Senate,[2020],[2020],REP,C,True,2270.0,909013.41,False,1153.0,309603.94
