,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
111,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AL,22,10560.0,False
112,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AR,31,11975.0,False
113,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AZ,61,14290.0,False
114,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,CA,1330,600778.52,False
115,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,CO,190,115191.84,False
116,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,CT,109,45835.0,False
117,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,DC,366,261566.22,False
118,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,DE,17,1435.0,False
119,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,FL,346,257173.7,False
120,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,GA,84,35293.89,False
121,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,HI,9,3205.0,False
122,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,IA,65,5530.5,False
123,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,ID,51,39317.0,False
124,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,IL,348,220963.78,False
125,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,IN,69,28267.7,False
126,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,KS,22,8042.5,False
127,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,KY,49,9720.0,False
128,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,LA,69,57776.0,False
129,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,AL,1,1000.0,False
