,candidate_id,state,donation_count,total_raised,cycle
403,S2ND00099,CA,11659,3081190.37,2018
404,S2ND00099,CO,1168,327444.28,2018
405,S2ND00099,CT,1130,278255.21,2018
406,S2ND00099,DC,1820,806215.64,2018
407,S2ND00099,DE,126,17857.0,2018
408,S2ND00099,FL,1601,399371.18,2018
409,S2ND00099,GA,519,106217.18,2018
410,S2ND00099,HI,204,43055.5,2018
411,S2ND00099,IA,259,33706.59,2018
412,S2ND00099,ID,129,27056.0,2018
413,S2ND00099,IL,2025,721758.87,2018
414,S2ND00099,IN,322,31989.59,2018
415,S2ND00099,KS,137,23141.5,2018
416,S8CA00317,CA,60,3323.47,2018
417,S8CA00317,IL,1,1000.0,2018
418,S8CA00317,MA,24,2594.7,2018
419,S8CA00317,MI,1,50.0,2018
420,S8CA00317,NC,2,500.0,2018
421,S8CA00317,NJ,5,250.0,2018
422,S8CA00317,NY,2,500.0,2018
423,S8CA00317,OR,5,135.0,2018
424,S8CA00317,PA,3,304.0,2018
425,S2HI00106,AA,9,965.0,2018
426,S2HI00106,AL,4,2375.0,2018
427,S2HI00106,AP,4,3000.0,2018
428,S2HI00106,AR,2,2000.0,2018
429,S2HI00106,AZ,7,1450.0,2018
430,S2HI00106,CA,536,263257.31,2018
431,S2HI00106,CO,40,20174.0,2018
432,S2HI00106,CT,14,6010.0,2018
433,S2HI00106,DC,120,70906.2,2018
434,S2HI00106,DE,10,2500.0,2018
435,S2HI00106,FL,29,23575.0,2018
436,S2HI00106,GA,14,6385.0,2018
437,S2HI00106,HI,1825,661193.27,2018
438,S2HI00106,IA,1,750.0,2018
439,S2HI00106,ID,1,100.0,2018
440,S2HI00106,IL,99,99104.99,2018
441,S2HI00106,IN,9,1852.69,2018
442,S2HI00106,KY,11,4193.0,2018
443,S2HI00106,LA,2,625.0,2018
444,S2HI00106,MA,156,62889.5,2018
445,S8NJ00475,CA,3,2000.0,2018
446,S8NJ00475,DC,12,10950.0,2018
447,S8NJ00475,FL,2,1000.0,2018
448,S8NJ00475,GA,1,250.0,2018
449,S8NJ00475,IL,1,500.0,2018
450,S8NJ00475,MD,10,9450.0,2018
451,S8NJ00475,MI,1,400.0,2018
452,S8NJ00475,NC,2,1250.0,2018
453,S8NJ00475,NJ,2,1500.0,2018
454,S8NJ00475,NM,1,250.0,2018
455,S8NJ00475,NY,2,500.0,2018
456,S8NJ00475,VA,3,3500.0,2018
457,S8MD00286,AZ,1,100.0,2018
458,S8MD00286,CA,15,543.54,2018
459,S8MD00286,MD,3,111.0,2018
460,S8MD00286,MI,1,10.0,2018
461,S8MD00286,MS,1,1.0,2018
462,S8MD00286,NE,1,1.11,2018
463,S8MD00286,NV,1,5.0,2018
464,S8MD00286,NY,1,100.0,2018
465,S8MD00286,SC,1,2.0,2018
466,S8MD00286,TN,1,2.0,2018
467,S8MD00286,TX,4,132.07,2018
468,S8MD00286,VA,3,122.0,2018
469,S0AL00156,AA,5,1350.0,2018
470,S0AL00156,AE,37,5150.0,2018
471,S0AL00156,AK,121,10202.0,2018
472,S0AL00156,AL,6465,1974748.72,2018
473,S0AL00156,AP,2,500.0,2018
474,S0AL00156,AR,184,21982.5,2018
475,S0AL00156,AZ,650,50736.5,2018
476,S0AL00156,CA,16685,2052655.35,2018
477,S0AL00156,CO,1576,131707.5,2018
478,S0AL00156,CT,1658,226913.5,2018
479,S0AL00156,DC,1062,316064.99,2018
480,S0AL00156,DE,195,18100.5,2018
481,S0AL00156,FL,2809,326850.05,2018
482,S0AL00156,GA,1469,181591.56,2018
483,S0AL00156,GU,3,150.0,2018
484,S0AL00156,HI,390,23855.5,2018
485,S0AL00156,IA,203,15253.5,2018
486,S0AL00156,ID,184,8994.0,2018
487,S0AL00156,IL,2871,317425.9,2018
488,S0AL00156,IN,405,42364.5,2018
489,S2VA00142,AE,24,2185.0,2018
490,S2VA00142,AK,12,2637.5,2018
491,S2VA00142,AL,80,42069.38,2018
492,S2VA00142,AP,1,500.0,2018
493,S2VA00142,AR,47,30125.0,2018
494,S2VA00142,AZ,116,64742.0,2018
495,S2VA00142,CA,1444,1526019.79,2018
496,S2VA00142,CO,111,99964.0,2018
497,S2VA00142,CT,233,185799.3,2018
498,S2VA00142,DC,993,737418.65,2018
499,S2VA00142,DE,20,17060.0,2018
500,S2VA00142,FL,438,404288.88,2018
